"Bezirk (>>) / Gemeinde (......)","Fläche Total 2013/18","-10 Künstlich angelegte Flächen 2013/18",">>10.11 Befestigte Flächen 2013/18",">>10.12 Gebäude 2013/18",">>10.13 Treibhäuser 2013/18",">>10.14 Beetstrukturen 2013/18",">>10.15 Rasen 2013/18",">>10.16 Bäume auf künstlich angelegten Flächen 2013/18",">>10.17 Gemischte Kleinstrukturen 2013/18","-20 Gras-, Krautvegetation 2013/18",">>20.21 Gras-, Krautvegetation 2013/18","-30 Gebüschvegetation 2013/18",">>30.31 Gebüsch 2013/18",">>30.32 Verbuschte Flächen 2013/18",">>30.33 Niederstammobst 2013/18",">>30.34 Reben 2013/18",">>30.35 Gärtnerische Dauerkulturen 2013/18","-40 Baumvegetation 2013/18",">>40.41 Geschlossene Baumbestände 2013/18",">>40.42 Waldecken 2013/18",">>40.43 Waldstreifen 2013/18",">>40.44 Aufgelöste Baumbestände 2013/18",">>40.45 Gebüschwaldbestände 2013/18",">>40.46 Lineare Baumbestände 2013/18",">>40.47 Baumgruppen 2013/18","-50 Vegetationslose Flächen 2013/18",">>50.51 Anstehender Fels 2013/18",">>50.52 Lockergestein 2013/18",">>50.53 Versteinte Flächen 2013/18","-60 Wasser und Feuchtflächen 2013/18",">>60.61 Wasser 2013/18",">>60.62 Gletscher, Firn 2013/18",">>60.63 Nassstandorte 2013/18",">>60.64 Schilfbestände 2013/18"
"-1502",6029,665,323,137,1,7,98,48,51,3035,3035,104,62,42,0,0,0,2129,1640,30,115,122,0,88,134,19,1,10,8,77,20,0,55,2
"3021",558,62,31,17,1,0,6,2,5,347,347,4,2,2,0,0,0,135,103,2,5,9,0,8,8,6,0,2,4,4,2,0,2,0
"3022",2119,136,77,38,0,1,11,6,3,982,982,49,25,24,0,0,0,896,722,8,36,68,0,19,43,3,0,1,2,53,6,0,47,0
"3023",819,150,70,25,0,1,31,9,14,425,425,1,0,1,0,0,0,237,190,1,15,4,0,11,16,3,0,2,1,3,2,0,1,0
"3024",1530,238,103,46,0,1,42,27,19,795,795,10,7,3,0,0,0,473,337,11,39,16,0,30,40,5,1,4,0,9,9,0,0,0
"3025",1003,79,42,11,0,4,8,4,10,486,486,40,28,12,0,0,0,388,288,8,20,25,0,20,27,2,0,1,1,8,1,0,5,2
"-1503",4644,553,274,99,0,10,76,54,40,2413,2413,75,51,16,0,7,1,1583,1226,23,85,30,0,68,151,14,0,10,4,6,3,0,3,0
"3031",420,48,24,9,0,0,6,6,3,235,235,4,4,0,0,0,0,132,104,3,5,4,0,7,9,1,0,0,1,0,0,0,0,0
"3032",749,133,63,23,0,1,21,19,6,369,369,10,7,3,0,0,0,234,178,3,12,5,0,8,28,3,0,2,1,0,0,0,0,0
"3033",226,54,22,9,0,2,8,7,6,104,104,8,1,1,0,6,0,59,38,2,5,0,0,5,9,1,0,0,1,0,0,0,0,0
"3034",671,67,37,6,0,0,9,5,10,360,360,6,6,0,0,0,0,233,178,3,16,2,0,17,17,4,0,4,0,1,1,0,0,0
"3035",494,26,16,7,0,0,2,0,1,197,197,7,5,2,0,0,0,262,230,4,2,9,0,3,14,2,0,1,1,0,0,0,0,0
"3036",685,43,21,14,0,1,2,4,1,433,433,22,15,6,0,0,1,183,143,1,11,4,0,11,13,1,0,1,0,3,0,0,3,0
"3037",703,94,39,18,0,3,17,6,11,350,350,12,9,2,0,1,0,247,188,1,18,5,0,6,29,0,0,0,0,0,0,0,0,0
"3038",696,88,52,13,0,3,11,7,2,365,365,6,4,2,0,0,0,233,167,6,16,1,0,11,32,2,0,2,0,2,2,0,0,0
"-1600",17236,784,474,146,0,7,110,13,34,9421,9421,350,155,195,0,0,0,5337,3884,60,266,399,122,203,403,1068,414,281,373,276,110,28,137,1
"3101",1687,195,104,41,0,1,26,7,16,1099,1099,21,5,16,0,0,0,341,239,6,29,19,0,23,25,16,0,10,6,15,8,0,7,0
"3102",2474,130,66,20,0,1,41,0,2,1459,1459,48,22,26,0,0,0,769,580,14,31,73,0,24,47,11,1,9,1,57,12,0,45,0
"3104",1792,88,66,13,0,1,5,0,3,1118,1118,32,16,16,0,0,0,527,417,5,36,24,0,14,31,12,1,7,4,15,11,0,3,1
"3111",1460,85,60,18,0,2,3,1,1,731,731,30,23,7,0,0,0,607,486,8,38,10,0,23,42,3,0,2,1,4,1,0,3,0
"3112",9823,286,178,54,0,2,35,5,12,5014,5014,219,89,130,0,0,0,3093,2162,27,132,273,122,119,258,1026,412,253,361,185,78,28,79,0
"-1721",15765,3213,1513,679,11,42,581,250,137,7830,7830,254,79,39,91,1,44,4218,3054,40,154,226,0,250,494,85,1,73,11,165,109,0,44,12
"3201",912,84,55,18,0,0,8,2,1,578,578,43,2,2,29,0,10,193,92,2,10,31,0,10,48,4,0,3,1,10,9,0,1,0
"3202",1037,83,51,17,1,2,8,4,0,698,698,32,0,0,28,0,4,216,50,4,5,69,0,12,76,1,0,1,0,7,2,0,5,0
"3203",3931,1537,687,336,0,21,258,163,72,1128,1128,39,21,16,0,0,2,1148,929,8,45,22,0,80,64,16,1,10,5,63,53,0,4,6
"3204",1221,254,116,48,0,1,49,24,16,633,633,11,2,2,5,0,2,308,211,4,12,16,0,21,44,3,0,3,0,12,9,0,3,0
"3212",892,90,45,19,0,1,18,5,2,490,490,2,1,1,0,0,0,303,252,1,8,5,0,15,22,1,0,1,0,6,6,0,0,0
"3441",628,74,37,15,0,1,10,5,6,396,396,7,5,1,0,0,1,139,108,0,3,4,0,6,18,2,0,2,0,10,0,0,10,0
"3442",1264,225,83,55,0,7,45,19,16,590,590,33,11,7,0,0,15,376,289,3,28,12,0,20,24,30,0,30,0,10,6,0,4,0
"3443",2744,571,299,128,1,6,96,23,18,1586,1586,47,19,4,16,1,7,494,351,7,10,18,0,33,75,16,0,13,3,30,11,0,15,4
"3444",3136,295,140,43,9,3,89,5,6,1731,1731,40,18,6,13,0,3,1041,772,11,33,49,0,53,123,12,0,10,2,17,13,0,2,2
"-1722",5053,1423,697,271,7,26,247,115,60,1994,1994,205,37,17,110,24,17,1275,750,4,71,107,0,93,250,33,1,29,3,123,40,0,55,28
"3211",378,49,24,11,0,0,6,6,2,194,194,27,1,1,21,0,4,101,42,0,8,14,0,8,29,2,0,2,0,5,1,0,4,0
"3213",476,254,116,41,5,3,61,20,8,116,116,26,5,2,12,2,5,69,48,0,4,2,0,5,10,4,0,4,0,7,6,0,1,0
"3214",986,172,94,26,0,2,27,18,5,457,457,28,16,2,6,0,4,307,171,1,10,50,0,19,56,10,0,10,0,12,7,0,2,3
"3215",177,162,75,43,0,3,25,14,2,9,9,0,0,0,0,0,0,5,0,0,1,0,0,2,2,1,0,1,0,0,0,0,0,0
"3216",712,205,90,32,0,8,43,17,15,274,274,15,4,3,4,1,3,216,139,0,20,1,0,19,37,1,0,1,0,1,1,0,0,0
"3217",450,134,66,27,1,4,21,7,8,163,163,66,3,0,63,0,0,82,16,0,4,17,0,9,36,1,0,0,1,4,1,0,1,2
"3218",198,67,31,16,0,2,10,4,4,98,98,5,1,1,3,0,0,27,3,0,1,5,0,3,15,1,0,1,0,0,0,0,0,0
"3219",708,50,30,8,1,2,3,1,5,319,319,9,4,4,0,0,1,316,258,2,15,13,0,8,20,3,1,2,0,11,5,0,3,3
"3237",968,330,171,67,0,2,51,28,11,364,364,29,3,4,1,21,0,152,73,1,8,5,0,20,45,10,0,8,2,83,19,0,44,20
"-1723",13903,2880,1439,594,13,37,476,168,153,7187,7187,274,82,66,12,97,17,3083,2176,41,165,126,4,253,318,100,8,53,39,379,264,0,77,38
"3231",466,240,104,55,1,2,44,21,13,165,165,21,6,8,0,7,0,22,8,1,5,0,0,3,5,2,0,1,1,16,15,0,1,0
"3232",658,157,73,42,0,2,26,10,4,323,323,29,3,4,0,22,0,145,102,1,2,13,0,12,15,3,0,3,0,1,0,0,0,1
"3233",560,138,59,31,0,1,28,10,9,200,200,54,3,1,8,41,1,166,134,3,9,1,0,6,13,0,0,0,0,2,2,0,0,0
"3234",1119,256,126,44,4,4,61,13,4,710,710,7,2,3,0,0,2,58,10,0,11,1,0,28,8,10,0,6,4,78,68,0,3,7
"3235",222,125,56,23,0,0,22,18,6,57,57,1,1,0,0,0,0,25,7,1,1,2,0,5,9,0,0,0,0,14,7,0,2,5
"3236",685,239,121,56,1,0,34,21,6,175,175,17,8,5,0,4,0,216,167,3,10,4,0,18,14,4,0,3,1,34,32,0,1,1
"3238",422,283,122,58,0,3,67,16,17,108,108,2,1,1,0,0,0,13,2,0,0,0,0,7,4,3,0,1,2,13,11,0,1,1
"3251",3957,520,273,102,4,9,73,21,38,2348,2348,77,29,21,4,11,12,899,567,13,52,58,4,71,134,34,8,9,17,79,22,0,47,10
"3252",550,65,31,15,0,3,10,3,3,221,221,10,1,5,0,4,0,244,180,2,11,12,0,13,26,7,0,2,5,3,3,0,0,0
"3253",441,92,45,19,3,0,15,2,8,307,307,6,2,1,0,3,0,32,5,1,3,4,0,11,8,2,0,2,0,2,2,0,0,0
"3254",3455,506,311,94,0,6,62,14,19,1882,1882,27,14,10,0,2,1,918,760,5,31,15,0,52,55,16,0,11,5,106,82,0,14,10
"3255",436,130,48,26,0,5,18,14,19,254,254,4,1,0,0,3,0,41,15,0,7,1,0,6,12,3,0,3,0,4,3,0,0,1
"3256",932,129,70,29,0,2,16,5,7,437,437,19,11,7,0,0,1,304,219,11,23,15,0,21,15,16,0,12,4,27,17,0,8,2
"-1724",20649,1778,948,327,5,33,285,110,70,9657,9657,938,430,448,25,22,13,6833,4560,65,248,738,229,276,717,941,220,230,491,502,210,1,277,14
"3271",1595,399,214,67,1,17,63,26,11,583,583,86,38,40,2,0,6,443,321,6,10,41,6,29,30,34,5,6,23,50,49,0,1,0
"3272",2230,197,100,32,0,0,58,3,4,1265,1265,30,17,9,4,0,0,653,469,4,22,55,14,37,52,37,12,9,16,48,19,0,29,0
"3273",5467,287,133,56,0,5,53,24,16,2497,2497,393,238,148,4,3,0,1766,1010,10,50,324,53,36,283,374,76,73,225,150,23,0,126,1
"3274",4156,412,252,83,3,4,40,21,9,2112,2112,74,26,30,8,5,5,1311,1001,18,39,76,28,62,87,135,61,32,42,112,57,0,46,9
"3275",3028,216,115,42,1,3,31,12,12,1445,1445,162,63,90,6,2,1,1020,719,16,42,82,40,36,85,158,31,40,87,27,23,1,3,0
"3276",4173,267,134,47,0,4,40,24,18,1755,1755,193,48,131,1,12,1,1640,1040,11,85,160,88,76,180,203,35,70,98,115,39,0,72,4
"-1725",51778,1937,1130,331,2,22,294,81,77,18490,18490,3789,1519,2198,21,49,2,17567,10981,128,448,2134,1873,372,1631,8989,3334,2482,3173,1006,426,129,443,8
"3291",2544,270,129,34,0,4,71,23,9,976,976,241,74,144,19,3,1,847,621,5,29,82,26,27,57,159,39,59,61,51,43,0,8,0
"3292",7517,295,193,53,0,0,32,6,11,3399,3399,588,211,377,0,0,0,2343,1463,23,103,330,84,56,284,718,110,238,370,174,33,0,138,3
"3293",13920,382,233,71,1,3,44,10,20,5475,5475,996,391,593,1,11,0,4091,2451,28,83,523,511,80,415,2689,826,797,1066,287,99,11,174,3
"3294",12840,124,70,23,0,1,19,9,2,3645,3645,586,212,369,0,5,0,4127,2479,27,69,440,734,64,314,4069,1983,1129,957,289,146,115,28,0
"3295",6171,217,125,36,0,4,31,7,14,1662,1662,800,380,413,0,7,0,2836,1846,12,64,390,282,47,195,551,106,94,351,105,54,1,49,1
"3296",946,193,116,31,0,3,31,8,4,357,357,23,6,4,1,12,0,328,271,2,11,14,1,18,11,31,17,7,7,14,14,0,0,0
"3297",3271,195,107,40,0,3,33,6,6,1321,1321,331,139,191,0,0,1,1136,681,18,37,98,171,32,99,253,42,73,138,35,18,1,15,1
"3298",4569,261,157,43,1,4,33,12,11,1655,1655,224,106,107,0,11,0,1859,1169,13,52,257,64,48,256,519,211,85,223,51,19,1,31,0
"-1726",24576,2349,1278,469,2,46,346,110,98,11558,11558,631,284,290,10,22,25,9048,6666,78,443,637,149,438,637,361,90,126,145,629,124,0,474,31
"3311",4306,119,63,30,0,1,13,5,7,1507,1507,177,76,100,0,1,0,2079,1310,11,87,284,118,78,191,231,66,72,93,193,13,0,180,0
"3312",1648,166,106,33,0,0,18,4,5,1226,1226,12,7,2,2,0,1,193,136,3,11,1,0,20,22,1,0,1,0,50,34,0,15,1
"3313",1857,172,90,36,0,4,26,8,8,992,992,35,21,13,0,0,1,600,459,8,26,41,0,32,34,14,1,10,3,44,9,0,28,7
"3315",3986,186,101,44,0,6,26,3,6,1944,1944,181,62,117,0,0,2,1582,1238,17,63,74,30,60,100,64,23,3,38,29,16,0,12,1
"3316",542,67,34,13,0,0,9,5,6,195,195,12,6,4,0,2,0,259,202,1,13,13,1,14,15,2,0,2,0,7,6,0,0,1
"3338",410,120,70,26,0,1,13,5,5,145,145,7,3,2,0,0,2,94,72,0,2,0,0,11,9,2,0,2,0,42,8,0,28,6
"3339",756,189,90,44,0,5,32,8,10,325,325,7,3,1,0,2,1,186,145,2,6,6,0,12,15,4,0,1,3,45,15,0,20,10
"3340",2215,679,335,130,1,17,124,53,19,709,709,50,19,2,5,15,9,677,547,5,23,40,0,28,34,6,0,6,0,94,9,0,80,5
"3341",3363,225,126,39,1,3,30,9,17,1555,1555,83,54,19,1,1,8,1400,1109,11,78,75,0,52,75,20,0,16,4,80,8,0,72,0
"3342",5493,426,263,74,0,9,55,10,15,2960,2960,67,33,30,2,1,1,1978,1448,20,134,103,0,131,142,17,0,13,4,45,6,0,39,0
"-1727",48848,2484,1461,467,0,48,304,91,113,25409,25409,1038,416,608,2,1,11,17375,12759,235,1051,1169,223,787,1151,1348,447,353,548,1194,252,5,931,6
"3352",4351,231,124,49,0,3,33,5,17,1970,1970,70,15,55,0,0,0,1878,1491,20,93,69,11,86,108,15,4,4,7,187,24,0,162,1
"3359",8746,274,143,64,0,1,42,17,7,4531,4531,391,154,237,0,0,0,2359,1247,23,94,438,151,89,317,1002,368,222,412,189,31,5,151,2
"3360",9263,275,171,43,0,3,33,12,13,4662,4662,284,95,189,0,0,0,3398,2423,38,253,239,61,164,220,222,70,43,109,422,34,0,387,1
"3374",283,52,24,8,0,0,12,2,6,88,88,10,7,3,0,0,0,123,93,3,6,10,0,3,8,2,0,1,1,8,7,0,1,0
"3379",5116,373,219,75,0,8,39,15,17,2637,2637,59,28,30,0,0,1,1921,1524,27,113,75,0,106,76,8,1,4,3,118,26,0,92,0
"3392",4256,398,237,69,0,12,49,15,16,2396,2396,52,39,10,0,1,2,1336,1115,13,49,36,0,47,76,28,0,23,5,46,15,0,31,0
"3393",1404,80,46,13,0,4,12,4,1,768,768,8,6,1,0,0,1,502,397,6,42,10,0,20,27,18,2,16,0,28,23,0,5,0
"3394",5055,187,122,38,0,4,15,4,4,2416,2416,54,19,31,2,0,2,2367,1856,37,146,108,0,83,137,7,0,6,1,24,9,0,15,0
"3395",2186,224,133,41,0,5,33,4,8,1389,1389,17,12,4,0,0,1,487,317,7,73,12,0,45,33,23,1,19,3,46,35,0,10,1
"3396",8188,390,242,67,0,8,36,13,24,4552,4552,93,41,48,0,0,4,3004,2296,61,182,172,0,144,149,23,1,15,7,126,48,0,77,1
"-1728",14538,2511,1239,561,6,36,373,167,129,7895,7895,247,101,28,79,2,37,3627,2716,50,184,124,0,174,379,70,1,57,12,188,129,0,42,17
"3401",1445,154,75,32,1,3,19,12,12,726,726,15,11,2,1,0,1,538,462,4,17,15,0,12,28,7,0,5,2,5,1,0,3,1
"3402",1150,283,132,61,1,8,44,20,17,548,548,14,7,1,6,0,0,272,204,5,22,6,0,14,21,8,0,6,2,25,10,0,11,4
"3405",1105,167,83,51,0,2,19,6,6,597,597,14,9,3,0,0,2,286,213,5,26,10,0,10,22,21,0,15,6,20,20,0,0,0
"3407",1409,191,76,58,0,1,24,14,18,767,767,31,11,2,10,0,8,395,290,6,19,15,0,19,46,1,0,0,1,24,18,0,2,4
"3408",1451,396,188,84,1,7,66,32,18,704,704,8,4,3,0,0,1,305,183,7,26,17,0,28,44,15,0,15,0,23,20,0,3,0
"3422",1583,138,71,20,0,1,40,3,3,989,989,34,14,1,17,0,2,399,293,3,23,18,0,29,33,3,0,3,0,20,16,0,3,1
"3423",1637,149,85,24,0,2,26,5,7,1044,1044,34,9,3,14,1,7,399,278,6,17,17,0,9,72,0,0,0,0,11,3,0,4,4
"3424",1778,241,153,40,0,4,29,7,8,1082,1082,47,20,5,13,0,9,371,272,6,18,9,0,25,41,8,1,7,0,29,27,0,2,0
"3426",896,185,103,42,3,1,20,12,4,466,466,14,9,3,0,0,2,214,169,3,5,8,0,11,18,0,0,0,0,17,6,0,8,3
"3427",2084,607,273,149,0,7,86,56,36,972,972,36,7,5,18,1,5,448,352,5,11,9,0,17,54,7,0,6,1,14,8,0,6,0
"-1841",68361,961,566,129,0,8,190,44,24,19144,19144,5742,1765,3974,0,0,3,18767,10635,68,331,4166,1660,225,1682,22439,4970,11566,5903,1308,535,290,475,8
"3506",4248,261,126,27,0,1,73,25,9,1456,1456,435,136,299,0,0,0,1702,992,10,58,322,65,30,225,297,58,118,121,97,51,0,41,5
"3513",2183,73,34,10,0,0,25,4,0,515,515,116,30,86,0,0,0,747,434,0,9,176,69,16,43,721,181,358,182,11,2,0,6,3
"3514",1131,17,8,3,0,0,4,0,2,222,222,59,6,53,0,0,0,642,322,1,1,204,75,2,37,189,37,75,77,2,2,0,0,0
"3542",9398,190,122,21,0,1,36,5,5,2295,2295,586,170,416,0,0,0,4307,2607,17,71,967,291,69,285,1921,456,988,477,99,64,0,35,0
"3543",32376,285,187,49,0,5,34,6,4,11047,11047,2889,636,2253,0,0,0,6051,3384,24,106,1358,511,72,596,11319,2326,5654,3339,785,319,84,382,0
"3544",19025,135,89,19,0,1,18,4,4,3609,3609,1657,787,867,0,0,3,5318,2896,16,86,1139,649,36,496,7992,1912,4373,1707,314,97,206,11,0
"-1842",23734,405,284,53,0,13,41,9,5,3897,3897,1879,877,984,9,0,9,9102,5095,25,144,2151,345,92,1250,7266,1623,3270,2373,1185,449,686,50,0
"3551",4629,103,67,15,0,7,9,4,1,669,669,317,166,134,9,0,8,2648,1712,6,39,503,48,18,322,874,98,367,409,18,17,0,1,0
"3561",19105,302,217,38,0,6,32,5,4,3228,3228,1562,711,850,0,0,1,6454,3383,19,105,1648,297,74,928,6392,1525,2903,1964,1167,432,686,49,0
"-1843",119663,899,613,119,0,13,100,38,16,26184,26184,7015,2564,4451,0,0,0,32042,18172,112,382,5213,5135,260,2768,51260,11477,28750,11033,2263,720,964,577,2
"3746",34402,173,130,17,0,2,16,5,3,4590,4590,2178,880,1298,0,0,0,10119,5870,21,77,1570,1829,62,690,16390,3768,8923,3699,952,283,639,30,0
"3752",5614,64,46,11,0,0,6,0,1,2275,2275,218,77,141,0,0,0,764,460,5,13,153,22,16,95,2211,366,1217,628,82,23,11,48,0
"3762",43876,374,228,62,0,5,49,23,7,10554,10554,2473,749,1724,0,0,0,10724,5954,43,120,1477,2141,83,906,18869,4832,10482,3555,882,248,277,355,2
"3764",15909,128,96,9,0,3,15,4,1,4335,4335,955,351,604,0,0,0,4947,2984,20,90,914,366,64,509,5331,1187,3012,1132,213,102,28,83,0
"3847",19862,160,113,20,0,3,14,6,4,4430,4430,1191,507,684,0,0,0,5488,2904,23,82,1099,777,35,568,8459,1324,5116,2019,134,64,9,61,0
"-1844",20376,882,441,140,1,18,183,65,34,5102,5102,924,453,463,0,8,0,8304,5653,33,192,1081,580,130,635,4841,1706,1975,1160,323,195,91,37,0
"3721",1445,113,58,15,0,3,27,7,3,334,334,51,32,18,0,1,0,870,688,5,16,95,0,19,47,53,22,28,3,24,21,0,3,0
"3722",2424,314,168,40,0,5,73,19,9,580,580,202,139,62,0,1,0,1246,967,2,42,96,36,27,76,43,7,28,8,39,39,0,0,0
"3723",1328,65,37,12,0,1,9,2,4,287,287,68,37,31,0,0,0,864,657,6,21,74,13,16,77,22,1,16,5,22,18,0,4,0
"3731",1340,63,27,13,0,2,14,5,2,252,252,67,29,32,0,6,0,619,397,1,12,114,31,6,58,326,93,87,146,13,13,0,0,0
"3732",5047,189,78,33,0,0,43,22,13,1493,1493,220,76,144,0,0,0,1476,1034,1,29,193,88,22,109,1538,447,653,438,131,44,63,24,0
"3733",4069,51,25,8,1,2,8,5,2,664,664,179,63,116,0,0,0,2083,1318,8,33,274,292,21,137,1045,493,336,216,47,27,14,6,0
"3734",4723,87,48,19,0,5,9,5,1,1492,1492,137,77,60,0,0,0,1146,592,10,39,235,120,19,131,1814,643,827,344,47,33,14,0,0
"-1845",17466,1052,618,197,6,16,118,56,41,5837,5837,1387,436,495,44,397,15,7292,4687,46,226,1066,351,234,682,1640,549,638,453,258,182,2,69,5
"3945",4291,154,103,29,0,2,12,6,2,1214,1214,386,129,237,0,18,2,1987,1073,8,56,396,215,55,184,513,212,168,133,37,30,0,7,0
"3946",2766,122,63,21,0,4,23,5,6,1093,1093,104,58,45,0,0,1,1215,825,11,26,167,32,25,129,199,60,67,72,33,30,1,2,0
"3947",1098,158,86,29,0,2,24,7,10,366,366,86,17,18,11,32,8,386,222,1,17,72,0,31,43,73,17,39,17,29,29,0,0,0
"3951",1996,49,35,7,0,0,4,2,1,608,608,153,42,39,0,72,0,852,664,3,23,57,27,24,54,295,89,141,65,39,32,0,4,3
"3952",1051,42,22,11,0,2,1,4,2,290,290,213,72,59,6,74,2,442,312,0,12,56,10,5,47,32,14,9,9,32,0,0,32,0
"3953",3235,169,121,22,0,1,11,11,3,1300,1300,253,65,78,5,105,0,1078,705,6,50,106,65,41,105,382,86,170,126,53,29,1,22,1
"3954",1138,78,38,20,3,2,6,4,5,337,337,127,13,8,12,94,0,517,337,9,14,77,2,20,58,74,37,21,16,5,5,0,0,0
"3955",1891,280,150,58,3,3,37,17,12,629,629,65,40,11,10,2,2,815,549,8,28,135,0,33,62,72,34,23,15,30,27,0,2,1
"-1846",97343,1299,700,218,0,9,280,82,10,19312,19312,6556,2630,3925,0,0,1,16430,8307,38,241,3640,2196,126,1882,46602,11905,23990,10707,7144,1628,5241,273,2
"3781",4566,46,30,3,0,0,12,1,0,804,804,263,98,165,0,0,0,729,295,1,5,207,110,7,104,2496,587,1433,476,228,39,166,23,0
"3782",2405,100,59,14,0,0,24,3,0,717,717,63,22,41,0,0,0,779,442,1,8,244,20,6,58,680,100,421,159,66,29,1,36,0
"3783",1632,38,17,3,0,0,17,1,0,380,380,203,69,134,0,0,0,249,135,0,5,68,15,3,23,745,148,440,157,17,10,5,2,0
"3784",11816,141,92,19,0,1,21,7,1,1608,1608,892,275,617,0,0,0,1190,394,3,19,331,193,6,244,6293,1369,3418,1506,1692,109,1561,22,0
"3785",6325,63,36,11,0,0,12,4,0,1700,1700,445,143,302,0,0,0,1053,393,0,15,141,429,5,70,3006,482,1758,766,58,32,14,12,0
"3786",11395,182,83,36,0,1,50,10,2,1819,1819,558,217,341,0,0,0,1214,454,5,32,310,173,14,226,5991,1585,3037,1369,1631,122,1482,26,1
"3787",2869,230,103,51,0,0,43,30,3,676,676,134,66,68,0,0,0,608,355,1,8,147,21,9,67,1094,215,567,312,127,85,22,20,0
"3788",13806,68,48,9,0,1,5,4,1,3407,3407,789,301,487,0,0,1,2861,1452,2,44,745,287,15,316,6438,1082,3856,1500,243,91,136,16,0
"3789",6357,71,34,10,0,0,24,3,0,1471,1471,511,163,348,0,0,0,766,356,2,16,228,29,8,127,2816,770,1276,770,722,378,307,37,0
"3790",4473,81,46,15,0,0,13,6,1,675,675,397,186,211,0,0,0,699,378,4,10,189,17,3,98,2327,482,1283,562,294,249,31,13,1
"3791",6563,104,38,15,0,0,41,9,1,2561,2561,612,172,440,0,0,0,688,350,1,14,127,118,3,75,2527,239,1681,607,71,33,26,12,0
"3792",25136,175,114,32,0,6,18,4,1,3494,3494,1689,918,771,0,0,0,5594,3303,18,65,903,784,47,474,12189,4846,4820,2523,1995,451,1490,54,0
"-1847",49608,768,458,111,0,12,130,43,14,6213,6213,3747,2114,1602,1,30,0,23852,16218,53,231,2613,3301,126,1310,14297,4928,5164,4205,731,394,230,107,0
"3804",1126,17,9,2,0,0,4,1,1,61,61,25,9,16,0,0,0,942,691,3,4,128,70,10,36,61,17,24,20,20,18,0,2,0
"3805",395,15,3,7,0,0,3,1,1,18,18,14,9,5,0,0,0,323,266,1,4,21,19,0,12,21,11,3,7,4,3,0,1,0
"3808",5894,28,18,4,0,0,4,1,1,638,638,609,365,244,0,0,0,2784,1509,6,27,417,586,9,230,1787,556,634,597,48,45,1,2,0
"3810",932,11,5,1,0,1,2,1,1,63,63,76,36,40,0,0,0,673,465,1,5,85,65,3,49,109,52,6,51,0,0,0,0,0
"3821",5091,83,51,9,0,1,17,4,1,434,434,443,265,177,0,1,0,3065,2127,10,28,281,469,6,144,1040,478,261,301,26,26,0,0,0
"3822",16474,162,98,22,0,2,30,8,2,3204,3204,1436,811,625,0,0,0,3634,2015,5,46,471,840,24,233,7562,2618,2966,1978,476,160,228,88,0
"3823",4638,38,28,2,0,1,5,2,0,410,410,237,127,110,0,0,0,2700,1940,5,38,369,130,18,200,1228,412,480,336,25,24,0,1,0
"3831",1502,41,22,11,0,1,7,0,0,77,77,109,79,28,0,2,0,912,595,7,13,60,200,8,29,334,157,105,72,29,28,1,0,0
"3832",3710,96,54,17,0,2,16,7,0,342,342,237,135,95,0,7,0,2293,1661,8,20,184,288,18,114,704,270,154,280,38,37,0,1,0
"3834",3876,139,65,23,0,3,32,13,3,262,262,259,141,108,0,10,0,2915,2272,1,15,173,368,8,78,278,54,101,123,23,19,0,4,0
"3835",2203,81,64,8,0,0,4,1,4,293,293,92,31,50,1,10,0,1456,1206,2,9,105,88,8,38,259,34,83,142,22,14,0,8,0
"3837",3767,57,41,5,0,1,6,4,0,411,411,210,106,104,0,0,0,2155,1471,4,22,319,178,14,147,914,269,347,298,20,20,0,0,0
"-1848",28528,1244,634,253,0,15,179,128,35,10299,10299,1963,763,1185,6,7,2,10164,6577,67,321,1757,296,182,964,4241,914,1886,1441,617,200,3,414,0
"3901",5417,771,374,165,0,13,90,100,29,1214,1214,135,76,44,6,7,2,2929,2196,18,74,346,26,54,215,303,117,103,83,65,65,0,0,0
"3911",4859,158,77,30,0,0,34,15,2,1823,1823,547,217,330,0,0,0,1938,1230,12,75,281,71,46,223,324,55,131,138,69,13,0,56,0
"3921",15473,278,162,50,0,2,48,12,4,6097,6097,1044,400,644,0,0,0,4367,2538,30,151,962,168,67,451,3229,666,1532,1031,458,105,1,352,0
"3932",2779,37,21,8,0,0,7,1,0,1165,1165,237,70,167,0,0,0,930,613,7,21,168,31,15,75,385,76,120,189,25,17,2,6,0
"-1849",85333,1643,936,301,0,20,257,88,41,27464,27464,9725,4568,5156,0,0,1,23961,13270,182,619,4451,2622,402,2415,20731,3884,10473,6374,1809,513,572,720,4
"3851",28398,597,329,104,0,2,110,46,6,7907,7907,3860,1839,2021,0,0,0,6689,3706,33,114,1491,794,36,515,8933,1193,4945,2795,412,181,104,127,0
"3861",2532,72,46,13,0,2,4,3,4,1230,1230,296,114,182,0,0,0,704,454,10,14,92,37,24,73,133,6,43,84,97,18,0,79,0
"3862",3324,33,19,8,0,0,5,1,0,1457,1457,343,127,216,0,0,0,1188,579,8,40,264,64,36,197,224,16,113,95,79,15,0,64,0
"3863",2594,74,36,20,0,0,9,6,3,1096,1096,253,83,170,0,0,0,1000,527,10,30,239,26,29,139,136,10,83,43,35,13,0,22,0
"3871",21987,310,169,49,0,6,62,15,9,5549,5549,2880,1598,1281,0,0,1,4440,2082,31,133,685,1019,63,427,8117,1895,3948,2274,691,165,465,60,1
