"Bezirk (>>) / Gemeinde (......)","Fläche Total 2013/18","-10 Künstlich angelegte Flächen 2013/18",">>10.11 Befestigte Flächen 2013/18",">>10.12 Gebäude 2013/18",">>10.13 Treibhäuser 2013/18",">>10.14 Beetstrukturen 2013/18",">>10.15 Rasen 2013/18",">>10.16 Bäume auf künstlich angelegten Flächen 2013/18",">>10.17 Gemischte Kleinstrukturen 2013/18","-20 Gras-, Krautvegetation 2013/18",">>20.21 Gras-, Krautvegetation 2013/18","-30 Gebüschvegetation 2013/18",">>30.31 Gebüsch 2013/18",">>30.32 Verbuschte Flächen 2013/18",">>30.33 Niederstammobst 2013/18",">>30.34 Reben 2013/18",">>30.35 Gärtnerische Dauerkulturen 2013/18","-40 Baumvegetation 2013/18",">>40.41 Geschlossene Baumbestände 2013/18",">>40.42 Waldecken 2013/18",">>40.43 Waldstreifen 2013/18",">>40.44 Aufgelöste Baumbestände 2013/18",">>40.45 Gebüschwaldbestände 2013/18",">>40.46 Lineare Baumbestände 2013/18",">>40.47 Baumgruppen 2013/18","-50 Vegetationslose Flächen 2013/18",">>50.51 Anstehender Fels 2013/18",">>50.52 Lockergestein 2013/18",">>50.53 Versteinte Flächen 2013/18","-60 Wasser und Feuchtflächen 2013/18",">>60.61 Wasser 2013/18",">>60.62 Gletscher, Firn 2013/18",">>60.63 Nassstandorte 2013/18",">>60.64 Schilfbestände 2013/18"
"1344",242,161,75,42,1,4,23,12,4,55,55,1,0,1,0,0,0,15,4,0,3,1,0,6,1,2,0,2,0,8,4,0,1,3
"1345",1154,112,59,28,7,0,11,6,1,577,577,16,6,10,0,0,0,391,318,8,9,15,2,14,25,8,0,4,4,50,12,0,38,0
"1346",2902,212,108,48,0,2,32,7,15,1310,1310,60,41,17,1,0,1,1214,953,17,26,90,13,25,90,60,17,21,22,46,6,0,39,1
"1347",1356,161,104,25,1,0,17,8,6,827,827,18,14,2,0,1,1,284,248,0,4,12,0,10,10,15,0,15,0,51,16,0,35,0
"1348",2795,58,42,12,0,0,3,0,1,924,924,63,32,31,0,0,0,1606,1272,11,51,149,0,27,96,38,3,18,17,106,17,0,89,0
"1349",844,193,91,43,0,3,39,7,10,485,485,11,2,3,2,4,0,101,71,0,2,0,0,9,19,18,0,15,3,36,8,0,27,1
"-506",49435,2060,1239,419,3,26,257,53,63,18769,18769,2589,1147,1418,13,1,10,16758,11469,143,662,2081,281,492,1630,7277,3123,2077,2077,1982,551,45,1356,30
"1361",2293,44,30,10,0,0,3,1,0,543,543,103,80,23,0,0,0,1371,921,12,36,269,0,23,110,22,0,13,9,210,11,0,199,0
"1362",4199,360,236,72,1,4,36,3,8,1649,1649,94,43,44,5,0,2,1919,1416,17,69,170,3,83,161,82,25,20,37,95,13,0,82,0
"1363",1099,37,23,9,0,0,2,2,1,602,602,22,8,14,0,0,0,345,210,2,38,23,0,19,53,21,0,15,6,72,1,0,71,0
"1364",1342,224,116,53,1,2,31,11,10,375,375,14,6,6,0,0,2,662,554,4,22,36,1,20,25,41,15,13,13,26,11,0,15,0
"1365",920,37,21,9,0,0,6,1,0,396,396,12,7,5,0,0,0,331,245,5,19,23,4,16,19,5,0,2,3,139,90,0,44,5
"1366",2084,70,43,10,0,0,14,2,1,1062,1062,115,37,78,0,0,0,759,554,5,31,60,37,11,61,67,9,24,34,11,1,0,10,0
"1367",17213,177,127,32,0,2,13,1,2,5342,5342,1402,603,799,0,0,0,3914,2527,23,96,619,167,68,414,6061,2835,1628,1598,317,119,45,153,0
"1368",3317,75,46,13,0,1,13,0,2,1321,1321,226,82,144,0,0,0,1273,735,8,48,250,9,32,191,171,28,70,73,251,14,0,237,0
"1369",1118,7,6,0,0,0,0,1,0,538,538,79,25,54,0,0,0,299,172,1,14,51,6,13,42,186,46,81,59,9,2,0,7,0
